id,title,rating,reviews,initial_price,final_price,stock,favorite,seller_name,seller_rating,seller_products,seller_chats_responded_percentage,seller_chat_time_reply,seller_joined_date,seller_followers,sold,brand,gmv_cal,country_of_origin,warranty_duration,warranty_type,material,shipped_from,Diameter,variations_count,voucher_status,image_count,video_count,discount,pan_type,rating_credibility,discount_percentage,log_reviews,log_final_price,log_initial_price,log_stock,log_favorite,log_sold,log_gmv_cal,log_seller_followers,log_seller_products,log_discount,z_sold,z_rating_credibility
24800523250,Panci Set 3 IN 1 Anti Lengket Panci Isi 3 Tutup Kaca Panci Set Pot Cookware Set Anti Lengket,4.7,335,100000.0,68900.0,0,0,Pan Store.Id,4.57,18,87,2.81,2.3600273785078714,202,383,Unknown,0.0,Indonesia,Medium Term,Manufacturer Warranty,Aluminium,Jabodetabek,24cm,4,0,5,0,31100.0,Other Cookware,0.0,31.1,5.817111159963204,11.140425970684525,11.51293546492023,0.0,0.0,5.950642552587727,0.0,5.313205979041787,2.9444389791664403,10.344995251991222,-0.013878751723484727,-0.49420862640449975
24689365032,"panci teplon rice cooker cosmos 2,5L crj 5508",4.78,9,85000.0,85000.0,20,5,Dika Sparepart,4.78,778,94,2.56,5.070499657768652,12055,11,Cosmos,0.0,Unknown,No Warranty,No Warranty,Other,Jabodetabek,Unknown,0,0,2,0,0.0,Other Cookware,0.4290422110914253,0.0,2.302585092994046,11.350418300109132,11.350418300109132,3.044522437723423,1.791759469228055,2.4849066497880004,0.0,9.397317740306331,6.658011045870748,0.0,-0.18719648203455644,-0.21298674971513334
25056935040,panci Ndo Steamer-Panci Stimer set-apanci Steamer Set,5.0,5,109999.0,109999.0,0,0,Toko_pranoto,4.79,604,95,1.19,9.234770704996578,9100,6,Unknown,0.0,Unknown,No Warranty,No Warranty,Other,Jabodetabek,Unknown,1,0,1,0,0.0,Stock Pot / Soup Pot,0.0,0.0,1.791759469228055,11.608235644774552,11.608235644774552,0.0,0.0,1.9459101490553132,0.0,9.116139576577355,6.405228458030842,0.0,-0.18952602142045794,-0.49420862640449975
23133692947,Omicko Milk Fry Pan Panci Set 16/20cm,4.6,10,34000.0,34000.0,1,5,Serba Murah Jogja,4.79,2410,91,1.15,9.456536618754278,10165,11,Omicko,0.0,Unknown,No Warranty,No Warranty,Other,Java,Unknown,4,0,2,0,0.0,Frying Pan / Wok,0.45847277527479674,0.0,2.3978952727983707,10.434145214930487,10.434145214930487,0.6931471805599453,1.791759469228055,2.4849066497880004,0.0,9.226804098006848,7.787796878181171,0.0,-0.18719648203455644,-0.1936960639091372
16509497583,GM Bear Bundling Package Panci Listrik 1225 + Spatula Sutil Set 1073,4.71,7,319900.0,126990.0,0,14,De Essential Official Store,4.65,524,100,0.5,4.0,81700,12,Unknown,1523880.0,Unknown,No Warranty,No Warranty,Other,Jabodetabek,Unknown,0,0,8,1,192910.0,Other Cookware,0.3291625433903806,60.30321975617381,2.0794415416798357,11.751871496787873,12.675766851909591,0.0,2.70805020110221,2.5649493574615367,14.236770928190515,11.310821520675269,6.263398262591624,12.16998422163295,-0.18673057415737612,-0.2784543118054581
19370107241,"CAROTE Granit Putih Set 5pcs - Anti Lengket dengan pegangan yg bisa di lepas Pasang, wajan/panci/penggorengan Granit Bebas PFOA Original Carote",5.0,19,589000.0,485000.0,4,117,Fankinanda.store,4.92,67,67,2.21,8.303901437371664,764,23,Carote,0.0,Unknown,No Warranty,No Warranty,Ceramic / Stoneware,Jabodetabek,Unknown,0,0,9,1,104000.0,Frying Pan / Wok,0.9387310293414269,17.65704584040747,2.995732273553991,13.091906231773164,13.286183160425152,1.6094379124341003,4.770684624465665,3.1780538303479458,0.0,6.639875833826536,4.219507705176107,11.552155793461898,-0.18160558750839284,0.12109610341771893
28711803034,"MAGIC COM MASPION 1,2 LITER PANCI STAINLESS STEEL 3IN1 GARANSI RESMI",5.0,2,395000.0,395000.0,498,5,Subur Mulia Surabaya,4.78,146,86,1.89,4.183436002737851,57,2,Unknown,0.0,Unknown,No Warranty,No Warranty,Other,Java,Unknown,2,0,4,0,0.0,Other Cookware,0.09998666879965465,0.0,1.0986122886681098,12.886643575525625,12.886643575525625,6.212606095751519,1.791759469228055,1.0986122886681098,0.0,4.060443010546419,4.990432586778736,0.0,-0.19138965292917914,-0.42867092890795855
24710029111,Panci susu milk pot calypso / panci gagang kayu calypso / saucepan calypso Original,4.95,75,109000.0,109000.0,204,104,DapurKami,4.82,1004,99,0.72,9.14442162902122,6742,97,Calypso,0.0,Unknown,No Warranty,No Warranty,Other,Jabodetabek,Unknown,5,0,4,0,0.0,Stock Pot / Soup Pot,3.1439873143170725,0.0,4.330733340286331,11.599112335481124,11.599112335481124,5.3230099791384085,4.653960350157523,4.584967478670572,0.0,8.816260208734581,6.912742820493176,0.0,-0.14712840459705062,1.5665629945757056
29856939007,Kuka Kitchen Harmony Set Silver Gray  - Set Wajan dan Panci Anti Lengket dengan Tutup Kaca Isi 5 Pcs,5.0,9,1890000.0,1890000.0,32,28,UNITWO BANDUNG,4.89,6,100,0.01,1.6399726214921286,1333,10,Unknown,0.0,Unknown,No Warranty,No Warranty,Other,Java,Unknown,1,1,5,0,0.0,Frying Pan / Wok,0.44878892373580054,0.0,2.302585092994046,14.452087916136215,14.452087916136215,3.4965075614664802,3.367295829986474,2.3978952727983707,0.0,7.195937226475569,1.9459101490553132,0.0,-0.18766238991173673,-0.20004348342399098
4764439519,Cypruz - Paket Marble Series 2 Panci Wajan Induksi Anti Lengket Alat Masak (6),5.0,2,1100000.0,956340.0,0,20,Abadi Logam Official Shop,4.83,330,84,1.0,6.0,82400,4,Unknown,3825360.0,Unknown,No Warranty,No Warranty,Other,Unknown,Unknown,0,0,10,1,143660.0,Frying Pan / Wok,0.09998666879965465,13.059999999999999,1.0986122886681098,13.770869822993827,13.910821646859095,0.0,3.044522437723423,1.6094379124341003,15.157163399874316,11.319352851746254,5.802118375377063,11.875211636484421,-0.19045783717481854,-0.42867092890795855
